,#,sex,item name,about,details,sizes,"price, $",colour,image_name,,
,,,                               LV Trainer sneakers ,A summery take on the LV Trainer,Textile,39-46,,beige,LV Trainer 1ABG0H1                  LV Trainer 1ABG0H2                  LV Trainer 1ABG0H3                  LV Trainer 1ABG0H4,,
,,,                              LV Trainer sneakers ,A summery take on the LV Trainer,Textile,39-46,,blue,LV Trainer 1ABG1L1                  LV Trainer 1ABG1L2                  LV Trainer 1ABG1L3                  LV Trainer 1ABG1L4,,
,,,             LV x YK sneakers  LV Trainer,The LV Trainer LV x YK sneakers ,Calfskin,39-46,,"
blue",LV x YK Trainer 1ABD1G1         LV x YK Trainer 1ABD1G2         LV x YK Trainer 1ABD1G3         LV x YK Trainer 1ABD1G4,,
,,,                       LV Runner Tatic,First seen at the Spring/Summer 2022 show,Combination of materials,39-46,,Black,LV Runner Tatic 1ABFQO1        LV Runner Tatic 1ABFQO2        LV Runner Tatic 1ABFQO3        LV Runner Tatic 1ABFQO4,,
,,,                        LV Runner Tatic,Inspired by running shoes,Mix of materials,39-46,,Grey,LV Runner Tatic 1ABLZ71        LV Runner Tatic 1ABLZ72        LV Runner Tatic 1ABLZ73        LV Runner Tatic 1ABLZ74,,
,,,                          LV Trainer,Louis Vuitton introduces the iconic LV Trainer in a new sustainable version,Combination of sustainable materials,39-46,,Grey,LV Trainer 1AAGXF1                LV Trainer 1AAGXF2               LV Trainer 1AAGXF3               LV Trainer 1AAGXF4,,
,,,                    LV Trainer LV x YK,The LV Trainer LV x YK sneakers from the Louis Vuitton x Yayoi ,"Grained Calfskin
print",39-46,,Black,LV x YK LV Trainer trainers 1ABD2W1                                LV x YK LV Trainer trainers 1ABD2W2                                LV x YK LV Trainer trainers 1ABD2W3                                LV x YK LV Trainer trainers 1ABD2W4,,
,,,                           LV Trainer,Louis Vuitton Creative Director ,Monogram Canvas,39-46,,"
black",LV Trainer 1A8PU71                  LV Trainer 1A8PU72                  LV Trainer 1A8PU73                  LV Trainer 1A8PU74,,
,,,                        LV Trainer LV x YK,The Louis Vuitton x Yayoi Kusama collection features an exclusive version of the LV Trainer,Calfskin,39-46,,Red,LV x YK LV Trainer trainers 1AB8J1                                      LV x YK LV Trainer trainers 1AB8J2                                                                             LV x YK LV Trainer trainers 1AB8J3                                                                                                               LV x YK LV Trainer trainers 1AB8J4,,
,,,                           LV Trainer,The new version of the LV Trainer combines,Calfskin,39-46,,Orange,LV Trainer 1ABOIL1                LV Trainer 1ABOIL2                LV Trainer 1ABOIL3                LV Trainer 1ABOIL4,,
,,,                           LV Trainer,The new version of the LV Trainer combines,Calfskin,39-46,,Black,LV Trainer 1ABOGD1                LV Trainer 1ABOGD2                LV Trainer 1ABOGD3                LV Trainer 1ABOGD4,,
,,,                            LV Skate,The 90s-inspired LV Skate sneaker ,Combination of materials,39-46,,beige,LV Skate 1AARQG1                      LV Skate 1AARQG2                      LV Skate 1AARQG3                      LV Skate 1AARQG4,,
,,,                             LV Skate,The 90s-inspired LV Skate sneaker ,Combination of materials,39-46,,Dark blue,LV Skate 1AARRK1                      LV Skate 1AARRK2                      LV Skate 1AARRK3                      LV Skate 1AARRK4,,
,,,                   LV Trainer         ,The new version of the LV Trainer ,Calfskin,39-46,,Yellow,LV Trainer 1ABOI11                LV Trainer 1ABOI12                LV Trainer 1ABOI13                LV Trainer 1ABOI14,,
,,,                   LV Trainer         ,The new version of the LV Trainer ,Calfskin,39-46,,Green,LV Trainer 1ABOJJ1                LV Trainer 1ABOJJ2                LV Trainer 1ABOJJ3,,
,,,                      LV Trainer LV x YK,Introduced in the Louis Vuitton x Yayoi Kusama collection,Grained Calfskin,39-46,,White,LV x YK LV Trainer trainers 1ABD3G1                                      LV x YK LV Trainer trainers 1ABD3G2                                      LV x YK LV Trainer trainers 1ABD3G3                                      LV x YK LV Trainer trainers 1ABD3G4,,
,,,                           LV Trainer         ,First seen at the Louis Vuitton ,Suede Calfskin,39-46,,Dark brown,LV Trainer 1A5UR31                LV Trainer 1A5UR32                LV Trainer 1A5UR33,,
bags & accessories,,sex,item name,about,details,sizes,"price,$",color,,,
,,, Keepall Bandoulière 50,"The Keepall Bandoulière 50 
",Monogram Eclipse coated canvas ,50 x 29 x 23 cm ,,grey,Keepall 50 1 M45392 Keepall 50 2 M45392 Keepall 50 3 M45392 Keepall 50 4 M45392,,
,2,,Keepall Bandoulière 60,An icon since the appearance in 1930,Golden brass pieces,60 x 34 x 27 cm,,brown,Keepall 60 1 M41412 Keepall 60 2 M41412 Keepall 60 3 M41412 Keepall 60 4 M41412,,
,3,,Keepall Bandoulière 55,The beloved Keepall 55,Coated Canvas,55 x 31 x 26 cm,,black,Keepall 55 1 M40605 Keepall 55 2 M40605 Keepall 55 3 M40605 Keepall 55 4 M40605,,
,55,,LV x YK Bandoulière Keepall 55,The LVxYK Keepall 55,Monogram Eclipse coated ,55 x 31 x 26 cm,,grey,Keepall 55 1 M46401  Keepall 55 2 M46401  Keepall 55 3 M46401  Keepall 55 4 M46401,,
,56,,Keepall Bandoulière 55,"With side bands in 
","Radiant Sun
Monogram 

",55 x 31 x 26 cm,,brown,Keepall 55 1 M46702 Keepall 55 2 M46702,,
,57,,Keepall Bandoulière 35,A smaller version of the House’s ,"Embossed Taurillon Monogram 

",34 x 21 x 16 cm,,black,Keepall 35 1 M22765 Keepall 35 2 M22765 Keepall 35 3 M22765,,
,58,,Keepall Bandouliere 50,Inspired by the original design of the padded travel bag,Exceptionally soft Taiga leather,50 x 29 x 23 сm,,black,Bandouliere 50 M334001 Bandouliere 50 M334002 Bandouliere 50 M334003 Bandouliere 50 M334004,,
,59,,Keepall 50 Shoulder Bag,"The iconic Keepall travel bag, which has graced Louis Vuitton ","Embossed Monogram Shadow leather
Cowhide leather trim",50 x 29 x 23 сm,,black,50 Shoulder M448101                  50 Shoulder M448102                  50 Shoulder M448103                  50 Shoulder M448104,,
,60,,Keepall 45 with shoulder strap,The iconic Keepall 45 with shoulder strap is crafted from new Monogram,Genuine cowhide leather trim,45 x 27 x 20 сm,,black,with shoulder M405691                  with shoulder M405692                  with shoulder M405693                  with shoulder M405694,,
,,,Keepall 50 Shoulder Bag,The iconic Keepall is re-imagined in ultra-thin LV ,"cowhide leather",50 x 29 x 23 сm,,black,Keepall 50 M214201                  Keepall 50 M214202                  Keepall 50 M214203                  Keepall 50 M214204,,
,,,Keepall 45 with shoulder strap,Always travel with ease and style.,Genuine cowhide leather trim,45 x 27 x 20 cm,,Monogram Canvas,Keepall 45 M414181                  Keepall 45 M414182                  Keepall 45 M414183                  Keepall 45 M414184,,
,,,Keepall 55 with shoulder strap,Roomy and multifunctional,Genuine cowhide leather trim,55 x 31 x 26 cm,,Anwa Monogram,Keepall 55 M567141                  Keepall 55 M567142                  Keepall 55 M567143                  Keepall 55 M567144,,
,,,Keepall 50 with shoulder strap,"Introduced in 1930, the iconic Keepall epitomizes the spirit of modern travel. ",Genuine cowhide leather trim,50 x 29 x 23 cm,,Anwa Monogram,Keepall 50 M414161                  Keepall 50 M414162                  Keepall 50 M414163                  Keepall 50 M414164,,
,,,Keepall 55 with shoulder strap,"Introduced in 1930, the iconic Keepall epitomizes the spirit of modern travel. ",Genuine cowhide leather trim,55 x 31 x 26 cm,,Canvas,Keepall 50 N414141                  Keepall 50 N414142                  Keepall 50 N414143,,
,,,Keepall 55 with shoulder strap,This urban duffel bag in Damier Graphite canvas reinterprets a classic design.,Genuine cowhide leather trim,55 x 31 x 26 cm,,Canvas,Keepall 55 N414131                  Keepall 55 N414132                  Keepall 55 N414133                  Keepall 55 N414134,,
,,,Keepall 45 with shoulder strap,An elegant travel bag in Damier Graphite canvas.,Genuine cowhide leather trim,45 x 27 x 20 cm,,Canvas,Keepall 45 N414181                  Keepall 45 N414182                  Keepall 45 N414183                  Keepall 45 N414184,,
,,,Keepall 50 with shoulder strap,Keepall 50 Shoulder Bag,Cotton textile lining,50 x 29 x 23 cm,,Canvas,Keepall 50 M453921                  Keepall 50 M453922                  Keepall 50 M453923                  Keepall 50 M453924,,
,,,Keepall 25 with shoulder strap,The Keepall 25 in black Taurillon leather with ,Cowhide Taurillon Leather,25 x 15 x 11 cm,,Black color,Keepall 25 M209001                  Keepall 25 M209002                  Keepall 25 M209003                  Keepall 25 M209004,,
,,,Keepall 50 with shoulder strap,The new shoulder strap version of the Keepall 50 ,Taurillon leather,50 x 29 x 23 cm,,Black color,Keepall 50 M590251                  Keepall 50 M590252                  Keepall 50 M590253                  Keepall 50 M590254,,
,,,Keepall 25 with shoulder strap,The new version of the Keepall 25 ,Cowhide leather trim,25 x 15 x 11 cm,,Monogram Eclipse,Keepall 25 M462711                  Keepall 25 M462712                  Keepall 25 M462713                  Keepall 25 M462714,,
,,,Keepall 50 with shoulder strap,The Keepall 50 bag with shoulder strap comes in an innovative combination. ,Waxed canvas ,50 x 29 x 23 cm,,Pale blue color,Keepall 50 M225701                  Keepall 50 M225702                  Keepall 50 M225703                  Keepall 50 M225704,,
,,,Keepall 25 with shoulder strap,The Keepall 25 in Monogram Aquagarden,Waxed canvas ,25 x 15 x 11 cm,,Pale blue color,Keepall 25 M225271                 Keepall 25 M225272                 Keepall 25 M225273                 Keepall 25 M225274,,
,,,Keepall 50 with shoulder strap,The classic Keepall 50 ,Cowhide leather trim,50 x 29 x 23 cm,,Monogram Washed ,Keepall 50 M225321                 Keepall 50 M225322                 Keepall 50 M225323                 Keepall 50 M225324,,
,,,Keepall 25 with shoulder strap,The new Keepall 25,Cowhide leather trim,25 x 15 x 11 cm,,Monogram Washed ,Keepall 25 M227621               Keepall 25 M227622               Keepall 25 M227623               Keepall 25 M227624,,
,,,Keepall 25 with shoulder strap,The compact Keepall 25,Waxed canvas Monogram,25 x 15 x 11 cm,,Orange color,Keepall 25 M466871               Keepall 25 M466872               Keepall 25 M466873               Keepall 25 M466874,,
,,,Keepall 45 with shoulder strap,The iconic Keepall 45,Waxed canvas Monogram ,45 x 27 x 20 cm,,Orange-beige color,Keepall 45 M467031               Keepall 45 M467032               Keepall 45 M467033               Keepall 45 M467034,,
,,,Keepall 55 with shoulder strap,The House's classic short-haul travel accessory,Waxed canvas Monogram ,55 x 31 x 26 cm,,Orange color,Keepall 55 M467021          Keepall 55 M467022,,
,,,Keepall 55 with shoulder strap,"Introduced in 1930, the iconic Keepall epitomizes the spirit of modern travel. ",Genuine cowhide leather trim,55 x 31 x 26 cm,,Canvas,Keepall 55 M414141          Keepall 55 M414142          Keepall 55 M414143          Keepall 55 M414144,,
,,,Mini Soft Trunk,Designed by Virgil Abloh for the Spring/Summer 2019 collection,Cowhide leather trim,18.5 x 13 x 8 сm,,black,Soft Trunk M447351                  Soft Trunk M447352                  Soft Trunk M447353                  Soft Trunk M447354,,
,,,Handle Soft Trunk,The Handle Soft Trunk messenger bag is crafted from iconic ,Cowhide leather trim,21.5 x 15 x 7 сm,,black,Handle M459351                  Handle M459352                  Handle M459353                  Handle M459354,,
,,,Handle Soft Trunk Bag,Crafted from taurillon leather and embossed with Monogram,Cowhide leather trim,21.5 x 15 x 7 сm,,black,Trunk Bag M591631                  Trunk Bag M591632                  Trunk Bag M591633                  Trunk Bag M591634,,
,,,"
Wallet Trunk",The eye-catching Trunk Wallet is a miniature version of the iconic Soft Trunk,Cowhide leather trim,22.5 x 14 x 5 сm,,black,Wallet Trunk M698381                  Wallet Trunk M698382                  Wallet Trunk M698383                  Wallet Trunk M698384,,
,,,"
Trunk messenger bag",A rectangular Trunk messenger bag in Monogram,Cowhide leather trim,24 x 18 x 5.5 сm,,black,messenger bag M457271                  messenger bag M457272                  messenger bag M457273                  messenger bag M457274,,
,,,Trunk messenger bag,The compact Trunk messenger bag is crafted from Taurillon,Cowhide leather trim,24 x 18 x 5.5 сm,,black,Trunk messenger M577261                  Trunk messenger M577262                  Trunk messenger M577263                  Trunk messenger M577264,,
,,,Handle Soft Trunk Bag,A compact Handle Soft Trunk bag in luxe crocodile leather embodies Virgil Abloh's timeless design,"
Crocodile skin","
21.5 x 15 x 7 сm",,black,Handle Soft N802421                  Handle Soft N802422                  Handle Soft N802423                  Handle Soft N802424,,
,,,Backpack Christopher MM,The Christopher MM backpack in Monogram Macassar ,Cowhide leather trim,38 x 44 x 21 сm,,Orange-beige ,MM M466861                                MM M466862                                MM M466863                                MM M466864,,
,,,Backpack Christopher PM,The dynamic design of the Cristopher backpack was inspired by the romance of backpacking.,Cowhide leather trim,38 x 44 x 21 сm,,Damier Graphite,PM N413791                                PM N413792                                PM N413793                                PM N413794,,
,,,Backpack Christopher MM,The Christopher MM backpack is a practical accessory with numerous pockets,Cowhide leather trim,38 x 44 x 21 сm,,black,MM M556991                                MM M556992                                MM M556993                                MM M556994,,
,,,Christopher Wearable Wallet,The functional Christopher wallet is the perfect accessory for the modern man.,Cowhide leather trim,15 x 17 x 8 сm,,Canvas,Wearable Wallet M694041                  Wearable Wallet M694042                  Wearable Wallet M694043                  Wearable Wallet M694044,,
,,,"
Keepall 25 Blown Up Shoulder Bag",The new collection's charming Keepall 25 Blown Up crossbody bag is crafted from iconic Monogram canvas,VVN cowhide leather trim,25 x 15 x 11 сm,,Canvas,Shoulder Bag M231061                  Shoulder Bag M231062                  Shoulder Bag M231063                  Shoulder Bag M231064,,
,,,Backpack Discovery MM,The iconic Discovery backpack is now available in a new MM version.,Cowhide leather trim,31 x 42 x 17 сm,,black,MM M225451                                MM M225452                                MM M225453                                MM M225454,,
,,,Backpack Discovery PM,The iconic Discovery backpack is now available in a new MM version. ,Cowhide leather trim,29 x 38 x 20 сm,,black,PM M225581                                PM M225582                                PM M225583                                PM M225584,,
,,,Backpack Discovery PM,"The combination of Monogram Macassar canvas, black cowhide",Cowhide leather trim,29 x 38 x 20 сm,,Canvas,PM M466841                                PM M466842                                PM M466843,,
,,,Sling Noe Maxi,The Noe Maxi bag in Monogram Eclipse canvas is a fusion of modern style and function. ,Cowhide leather trim,34 x 48 x 18 сm,,black,Noe Maxi M466931                 Noe Maxi M466932                 Noe Maxi M466933                 Noe Maxi M466934,,
,,,Backpack Steamer,"In soft Monogram Eclipse canvas, the Steamer Backpack is inspired by Louis Vuitton's",Cowhide leather trim,32 x 45 x 16 сm,,black,Steamer M440521                 Steamer M440522                 Steamer M440523                 Steamer M440524,,
,,,Trio Messenger,The men's Trio Messenger is crafted from Monogram Eclipse and Monogram Eclipse Reverse canvas,Cowhide leather trim,25 x 18.5 x 7 сm,,black,Messenger M694431                 Messenger M694432                 Messenger M694433                 Messenger M694434,,
,,,Discovery PM Belt Bag,The Discovery fanny pack in Monogram Eclipse canvas is the perfect combination of modern,Cowhide leather trim,44 x 15 x 9 сm,,black,Belt Bag M460351                  Belt Bag M460352                  Belt Bag M460353                  Belt Bag M460354,,
,,,Messenger S-Lock,A sophisticated interpretation of Monogram Macassar canvas,VVN cowhide leather trim,22 x 18 x 8 сm,,orange,S-Lock M466881                  S-Lock M466882                  S-Lock M466883                  S-Lock M466884,,
,,,Mini Soft Trunk Bag,Designed by Virgil Abloh for the Spring/Summer 2019 collection,Cowhide leather trim,18.5 x 13 x 8 сm,,black,Mini Soft M447351                  Mini Soft M447352                  Mini Soft M447353                  Mini Soft M447354,,
,,,District PM bag,A new version of the District messenger in PM is crafted in Monogram Eclipse canvas,Cowhide leather trim,26 x 20 x 7 сm,,black,PM bag M462551                  PM bag M462552                  PM bag M462553                  PM bag M462554,,
,,,Messenger District PM,The PM District messenger bag is crafted from Damier Infini cowhide leather,Cowhide leather trim,26 x 20 x 7 сm,,black,District PM N427111                  District PM N427112                  District PM N427113                  District PM N427114,,
,,,"Speedy 20 Shoulder Bag
",The Speedy 20 bag is a compact version of the legendary Speedy 20 bag. ,,"20.5 x 13.5 x 12 см
",,,,,
,,,Backpack Discovery,The Taigarama Discovery Backpack is crafted from authentic Taiga ,Cowhide leather trim,30 x 40 x 20 сm,,white,Backpack M309531                  Backpack M309532                  Backpack M309533,,
,,,Voyage PM,The classic monochrome palette of Monogram Eclipse,"Cowhide leather trim",36.5 x 27.5 x 6 cm,,black,Voyage PM M464571                  Voyage PM M464572                  Voyage PM M464573                  Voyage PM M464574,,
,,,Outdoor ,The elegant Spring/Summer 2019 Outdoor messenger ,Cowhide Taiga,26 x 20 x 10.5 cm,,black,Outdoor M302331                  Outdoor M302332                  Outdoor M302333,,
,,,Wallet Fastline ,The cowhide Fastline,cowhide leather,17.3 x 12 x 7 cm,,Black,Wallet Fastline M820851                  Wallet Fastline M820852                  Wallet Fastline M820853,,
,,,Wallet S-Lock Vertical,The elegant S-Lock Vertical,Taurillon leather,12 x 19 x 7 cm,,Black,Wallet S-Lock Vertical M815241                  Wallet S-Lock Vertical M815242                  Wallet S-Lock Vertical M815243,,
,,,Voyager PM ,Made from soft Monogram Eclipse canvas,Textile lining,33 x 22.5 x 11 cm,,black,Voyager PM M405111                  Voyager PM M405112                  Voyager PM M405113,,
,,,Michael NV2 ,Stylish and functional,Cowhide leather Damier Infini Onyx,29 x 42 x 13 cm,,black,Michael NV2 N452871                 Michael NV2 N452872                 Michael NV2 N452873                 Michael NV2 N452874,,
,,, Pochette Metis East West,"
Made from Monogram ","Monogram coated canvas

",21.5 x 13.5 x 6 cm,,brown,Pochette Metis East West 1 M46279 Pochette Metis East West 2 M46279 Pochette Metis East West 3 M46279 Pochette Metis East West 4 M46279,,
,,,"
Nano Noé","The Nano Noé
","Monogram coated canvas

",13 x 16 x 10 cm ,,brown,Nano Noé 1 M81266 Nano Noé 2 M81266 Nano Noé 3 M81266 Nano Noé 4 M81266,,
,,,Neverfull GM ,The Neverfull GM ,"Beige
Monogram ",39 x 32 x 19 cm ,,brown,Neverfull GM 1 M40990 Neverfull GM 2 M40990 Neverfull GM 3 M40990 Neverfull GM 4 M40990,,
,,,Neverfull GM ,"The Neverfull GM tote 
","Cerise Red
Damier 
",39 x 32 x 19 cm,,brown, Neverfull GM 1 N41357 Neverfull GM 2 N41357 Neverfull GM 3 N41357 Neverfull GM 4 N41357,,
,,,nTheGo PM ,"Both fashionable and functional
",Monogram and Monogram,25 x 19 x 11.5 cm,,brown,nTheGo PM 1 M46373 nTheGo PM 2 M46373 nTheGo PM 3 M46373 nTheGo PM 4 M46373,,
,,,Sac Plat BB,"A revamp of the House’s Sac Plat from 
","Monogram coated canvas
Natural ",21.5 x 22 x 9 cm,,brown,Sac Plat BB 1 M46265 Sac Plat BB 2 M46265 Sac Plat BB 3 M46265 Sac Plat BB 4 M46265,,
,,,Vendôme MM ,"Evocative of the Louis Vuitton
","Black
Monogram coated 
",36 x 22 x 18 cm,,brown, Vendôme MM 1 M46508 Vendôme MM 2 M46508 Vendôme MM 3 M46508 Vendôme MM 4 M46508,,
,,,OnTheGo MM,The name says it all: OnTheGo MM takes care,"Monogram and Monogram 
",35 x 27 x 14 cm,,brown,OnTheGo MM 1 M45321 OnTheGo MM 2 M45321 OnTheGo MM 3 M45321 OnTheGo MM 4 M45321,,
,,,Mini Bumbag ,"The Mini Bumbag in Monogram canvas is 
","Monogram coated canvas
Natural ",17 x 12 x 9.5 cm ,,brown,Mini Bumbag 1 M82335 Mini Bumbag 2 M82335 Mini Bumbag 3 M82335 Mini Bumbag 4 M82335,,
,,,Petit Sac Plat ,"Crafted from Monogram canvas, the Petit
","Monogram coated canvas
Aged
",14 x 17 x 5 cm ,,brown,Petit Sac Plat 1 M81295 Petit Sac Plat 2 M81295 Petit Sac Plat 3 M81295 Petit Sac Plat 4 M81295,,
,,,Wallet on Chain Ivy,"Inspired by the Sac Recoleta 
","Monogram coated canvas
Aged 
",23.5 x 12 x 4.3 cm,,brown,Wallet on Chain Ivy 1 M81911 Wallet on Chain Ivy 2 M81911 Wallet on Chain Ivy 3 M81911 Wallet on Chain Ivy 4 M81911,,
,,,Mini Boite Chapeau ,"Fashioned from Monogram canvas
","Monogram coated canvas

",13 x 12 x 6.5 cm,,brown,Mini Boite Chapeau 1 M44699 Mini Boite Chapeau 2 M44699 Mini Boite Chapeau 3 M44699 Mini Boite Chapeau 4 M44699,,
,,,Loop ,"Created by Nicolas 
","Monogram coated canvas

",23 x 13 x 6 cm,,brown,Loop 1 M81098 Loop 2 M81098 Loop 3 M81098 Loop 4 M81098,,
,,,Dauphine MM ,"This Louis Vuitton 
",Monogram and Monogram ,25 x 17 x 10.5 cm ,,brown,Dauphine MM 1 M45958 Dauphine MM 2 M45958 Dauphine MM 3 M45958 Dauphine MM 4 M45958,,
,,,Dauphine Chain Wallet,"Combining Monogram 
",Monogram and Monogram Reverse ,18.5 x 12 x 5 cm,,brown,Dauphine Chain Wallet 1 M68746 Dauphine Chain Wallet 2 M68746 Dauphine Chain Wallet 3 M68746 Dauphine Chain Wallet 4 M68746,,
,,,Pochette Metis,The small Pochette Metis clutch is the epitome of elegance. The bag is crafted from soft ,Genuine calfskin trim,25 x 19 x 7 сm,,canvas,MetisM448751                                MetisM448752                                MetisM448753                                MetisM448754,,
,,,Bag Neverfull MM,The Neverfull MM tote combines classic design with iconic Louis Vuitton elements.,Cowhide leather trim,"31 x 28 x 14 сm
",,red,MMM411771                                MMM411772                                MMM411773                                MMM411774,,
,,,Accessory Multi Pochette,"
The unique Multi Pochette accessory is an original cross-body ",VVN cowhide leather trim,24 x 13.5 x 4 сm,,pink,PochetteM448401                                PochetteM448402                                PochetteM448403                                PochetteM448404,,
,,,Clutch Pochette Metis,The stylish Pochette Metis clutch gets an ultra-fashion touch with the iconic Monogram,Smooth calfskin trim,25 x 19 x 7 сm,,canvas,MetisM448761                                MetisM448762                                MetisM448763                                MetisM448764,,
,,,Speedy Bandoulière 25,The Speedy Bandoulière 25 in graphic Damier Ebène canvas is an ideal city bag for every day,Smooth cowhide leather trim,25 x 19 x 15 cm,,canvas,SpeedyN413681                                SpeedyN413682                                SpeedyN413683                                SpeedyN413684,,
,,,Alma BB,"The Alma BB handbag traces its pedigree to an Art Deco original, introduced in 1934",Smooth cowhide leather trim,23.5 x 17.5 x 11.5 cm,,canvas,BBM531521                                BBM531522                                BBM531523                                BBM531524,,
,,,Passy Bag,The compact Passy Bag in Monogram canvas with a sliding chain is the quintessence of casual chic.,Smooth cowhide leather trim,23 x 17 x 9 cm,,brown,PassyM455921                                PassyM455922                                PassyM455923                                PassyM455924,,
,,,Tilsitt,The Tilsitt handbag in Monogram and Monogram Reverse canvas is an ideal city bag,Cowhide-leather trim,24 x 18 x 7 cm,,canvas,TilsittM465481                                TilsittM465482                                TilsittM465483                                TilsittM465484,,
,,,NéoNoé MM,"A true House icon, the NéoNoé bucket bag revisits a 1932 design by Gaston-Louis Vuitton",Smooth cowhide-leather trim,26 x 26 x 17.5 cm,,brown,MMM448871                                MMM448872                                MMM448873                                MMM448874,,
,,,Cluny Mini,The adorable Cluny Mini handbag in iconic Monogram canvas is designed to delight LV lovers,Cowhide-leather trim,20 x 16 x 7.5 cm,,brown,MiniM460551                                MiniM460552                                MiniM460553                                MiniM460554,,
,,,Pochette Félicie,Louis Vuitton's emblematic Epi leather complements the simple yet elegant design of the Pochette Félicie,Cowhide leather trim,21 x 12 x 3 cm,,black,FélicieM818761                                FélicieM818762                                FélicieM818763                                ,,
,,,Pochette Métis East West,"Crafted from Monogram Empreinte leather, with its embossed Monogram pattern",Cowhide-leather trim,21.5 x 13.5 x 6 cm,,creme,PochetteM230811                                PochetteM230812                                PochetteM230813                                PochetteM230814,,
,,,Diane,There’s a vintage 90s feel to this Diane satchel bag made from two-tone embossed Monogram Empreinte leather.,Cowhide-leather trim,,,creme,DianeM465831                                DianeM465832                                DianeM465833                                DianeM465834,,
,,,Twist MM,"The Twist MM handbag is made from Epi leather, with its distinctive embossing",Smooth cowhide-leather trim,23 x 17 x 9.5 cm,,Honey Gold,MMM222291                                MMM222292                                MMM222293                                MMM222294,,
,,,Twist MM,"The Twist MM handbag is made from Epi leather, with its distinctive embossing",Smooth cowhide-leather trim,23 x 17 x 9.5 cm,,quartz,MMM222361                                MMM222362                                MMM222363                                MMM222364,,
,,,Cluny BB,A textile strap lends a lively twist to this Cluny BB handbag,Natural cowhide-leather trim,28 x 20 x 10 cm,,canvas,BBM463721                                BBM463722                                BBM463723                                BBM463724,,
,,,New Wave Chain Bag GM,The quilted Chain Bag New Wave now comes in glamourous XL proportions,Smooth calf-leather trim,30 x 20 x 11 cm,,black,GMM216151                                GMM216152                                GMM216153                                GMM216154,,
,,,Madeleine BB Bag,Made from Monogram Empreinte leather with an oversized,Grained cowhide trim,24 x 17 x 8.5 cm,,black,BBM459771                                BBM459772                                BBM459773                                BBM459774,,
,,,Twist MM,This summery version of the Twist MM handbag features a wide embroidered textile strap,Cowhide-leather lining,23 x 17 x 9.5 cm,,black,MMM220361                                MMM220362                                MMM220363                                MMM220364,,
,,,Loop Hobo Bag,"A supple and roomy bag, the Loop Hobo bag is made from a mix of Monogram and Monogram Reverse ",Cowhide leather trim,38 x 26 x 10 cm,,canvas,HoboM463111                                HoboM463112                                HoboM463113                                HoboM463114,,
,,,Petit Sac Plat Bag,"The Petit Sac Plat bag is a miniature replica of the Sac Plat, one of Louis Vuitton's iconic bags",Monogram Empreinte embossed supple grained cowhide leather,14 x 17 x 5 cm,,BLACK,PetitM814171                                PetitM814172                                PetitM814173                                PetitM814174,,
,,,Marceau Bag,"The elegant Marceau chain bag, with its emblematic S-lock and gold-colour chain",Embossed grained cowhide leather,24.5 x 15 x 6.5 cm,,black,MarceauM462001                                MarceauM462002                                MarceauM462003                                MarceauM462004,,
,,,Vanity Case PM,The iconic Petite Malle inspired the Vanity Case baguette in Monogram canvas,Cowhide leather and metal trim,18.5 x 10.2 x 5 сm,,canvas,PMM467581                                PMM467582                                PMM467583                                ,,
,,,Petite Malle Souple,The expressive Petite Malle Souple is a reflection of the Maison's rich heritage,Cowhide leather trim,20 x 14 x 7.5 сm,,canvas,SoupleM455711                                SoupleM455712                                SoupleM455713                                SoupleM455714,,
,,,Neo Alma PM,Louis Vuitton's Neo Alma bag in size PM is an example of exquisite craftsmanship,Embossed Cowhide Monogram Empreinte,35 x 23 x 15 сm,,black,PMM448321                                PMM448322                                PMM448323                                PMM448324,,
,,,Palm Springs Mini,A functional Monogram canvas Palm Spring Mini backpack,Soft cowhide leather trim,17 x 22 x 10 сm,,canvas,MiniM448731                                MiniM448732                                MiniM448733                                MiniM448734,,
,,,Tambourin,For the Fall/Winter 2019 collection,Cowhide leather trim,18 x 15 x 8 сm,,canvas,TambourinM448601                                TambourinM448602                                TambourinM448603                                TambourinM448604,,
,,,"
Speedy 25 Shoulder Bag",The trendy Speedy Bandouliere 25 bag with detachable shoulder strap is crafted from classic ,Smooth cowhide leather trim,25 x 19 x 15 сm,,canvas,BagM411131                                BagM411132                                BagM411133                                BagM411134,,
,,,Noe BB,"The Noe shoulder bag is based on an archival model from 1932, originally designed to carry champagne",Cowhide leather trim,22 x 24 x 15 сm,,canvas,BBM408171                                BBM408172                                BBM408173                                BBM408174,,
,,,,,,,,,,,
,,man,"
Denim shirt with short sleeves",A utilitarian short-sleeved shirt will effectively complete a layered look.,100% cotton," s, m, l, xl",,Indigo,Denim shirt 1ABLDH1                  Denim shirt 1ABLDH2                  Denim shirt 1ABLDH3                  Denim shirt 1ABLDH4,,
,,man,Shirt Baseball,A baseball-style shirt is a great choice for sports fans.,"73% polyester, 22% cotton, 4%"," s, m, l, xl",,Black,Shirt Baseball 1AB5KX1                  Shirt Baseball 1AB5KX2                  Shirt Baseball 1AB5KX3                  Shirt Baseball 1AB5KX4,,
,,man,Overshort in cotton with Monogram pattern,The cotton overshort features a flocked Monogram pattern with a velvety effect. ,"98% cotton, 2% elastane","s, m, l, xl",,Khaki,Overshort Monogram 1ABNP81                  Overshort Monogram 1ABNP82                  Overshort Monogram 1ABNP83                  Overshort Monogram 1ABNP84,,
